order_id,order_date,customer_id,customer_segment,region,marketing_channel,product_id,product_name,category,tier,units_sold,standard_price,discount_pct,final_price,revenue,cost,profit,profit_margin_pct,returned,customer_rating,month,month_num,discount_band,adjusted_profit,unit_cost,seasonality_multiplier,channel_discount_multiplier,category_cost_multiplier,discount_effect,return_probability
ORD000005,2024-12-27,CUST00001,VIP,Midlands,Facebook Ads,SKU106,Treat Pouch Budget,Pet Supplies,Budget,1,15.13,0,18.46,18.46,10.82,7.64,0.41,0,4,December,12,No Discount,7.64,11.04,1.22,1.08,0.98,1.0,0.08
ORD000006,2024-01-17,CUST00001,VIP,Midlands,Google Ads,SKU109,Training Pads Budget,Pet Supplies,Budget,3,15.89,5,12.35,37.04,34.05,2.99,0.08,0,4,January,1,1-5%,2.99,11.58,0.82,1.05,0.98,0.9475,0.07
ORD000006,2024-01-17,CUST00001,VIP,Midlands,Google Ads,SKU073,Face Serum Budget,Beauty,Budget,3,14.18,20,9.19,27.56,26.84,0.72,0.03,0,4,January,1,15%+,0.72,9.94,0.82,1.05,0.9,0.79,0.07
ORD000007,2024-02-21,CUST00001,VIP,Midlands,Email,SKU029,Storage Basket Mid,Home & Kitchen,Mid,1,31.0,10,24.21,24.21,19.14,5.07,0.21,0,5,February,2,6-10%,5.07,19.14,0.86,0.92,1.0,0.908,0.04
ORD000007,2024-02-21,CUST00001,VIP,Midlands,Email,SKU013,Webcam Budget,Electronics,Budget,3,8.06,10,6.29,18.88,18.18,0.71,0.04,0,5,February,2,6-10%,0.71,5.61,0.86,0.92,1.08,0.908,0.04
ORD000007,2024-02-21,CUST00001,VIP,Midlands,Email,SKU055,Resistance Bands Budget,Fitness,Budget,3,17.55,5,14.4,43.2,35.8,7.4,0.17,0,5,February,2,1-5%,7.4,12.56,0.86,0.92,0.95,0.954,0.04
ORD000008,2024-04-23,CUST00001,VIP,Midlands,Organic,SKU032,Kitchen Scale Mid,Home & Kitchen,Mid,2,30.21,15,25.17,50.35,42.38,7.97,0.16,0,4,April,4,11-15%,7.97,21.19,0.96,0.88,1.0,0.868,0.05
ORD000009,2024-07-01,CUST00001,VIP,Midlands,Email,SKU024,LED Desk Lamp Premium,Electronics,Premium,1,88.12,10,80.01,80.01,54.7,25.31,0.32,0,5,July,7,6-10%,25.31,50.65,1.0,0.92,1.08,0.908,0.04
ORD000009,2024-07-01,CUST00001,VIP,Midlands,Email,SKU098,Dog Toy Mid,Pet Supplies,Mid,3,25.23,5,24.07,72.21,52.27,19.94,0.28,0,4,July,7,1-5%,19.94,17.78,1.0,0.92,0.98,0.954,0.04
ORD000009,2024-07-01,CUST00001,VIP,Midlands,Email,SKU002,Wireless Charger Mid,Electronics,Mid,1,37.06,15,31.95,31.95,28.65,3.29,0.1,0,5,July,7,11-15%,3.29,26.53,1.0,0.92,1.08,0.862,0.04
ORD000009,2024-07-01,CUST00001,VIP,Midlands,Email,SKU071,Skipping Rope Mid,Fitness,Mid,1,35.37,0,35.37,35.37,23.81,11.56,0.33,0,4,July,7,No Discount,11.56,25.06,1.0,0.92,0.95,1.0,0.04
ORD000010,2024-09-21,CUST00001,VIP,Midlands,Google Ads,SKU054,Foam Roller Premium,Fitness,Premium,3,67.46,15,60.25,180.74,111.52,69.21,0.38,0,5,September,9,11-15%,69.21,39.13,1.06,1.05,0.95,0.8425,0.07
ORD000010,2024-09-21,CUST00001,VIP,Midlands,Google Ads,SKU005,USB Hub Mid,Electronics,Mid,3,35.27,10,33.46,100.38,68.75,31.63,0.32,0,5,September,9,6-10%,31.63,21.22,1.06,1.05,1.08,0.895,0.07
ORD000010,2024-09-21,CUST00001,VIP,Midlands,Google Ads,SKU085,Hair Towel Budget,Beauty,Budget,3,14.85,15,13.26,39.79,27.27,12.52,0.31,0,5,September,9,11-15%,12.52,10.1,1.06,1.05,0.9,0.8425,0.07
ORD000010,2024-09-21,CUST00001,VIP,Midlands,Google Ads,SKU023,LED Desk Lamp Mid,Electronics,Mid,1,25.43,15,22.71,22.71,16.92,5.79,0.25,0,4,September,9,11-15%,5.79,15.67,1.06,1.05,1.08,0.8425,0.07
ORD000011,2024-12-11,CUST00002,New,Scotland,Organic,SKU096,Facial Roller Premium,Beauty,Premium,3,59.83,0,72.99,218.98,66.66,152.31,0.7,0,5,December,12,No Discount,152.31,24.69,1.22,0.88,0.9,1.0,0.05
ORD000011,2024-12-11,CUST00002,New,Scotland,Organic,SKU120,Litter Mat Premium,Pet Supplies,Premium,2,81.53,0,99.47,198.93,74.68,124.26,0.62,0,4,December,12,No Discount,124.26,38.1,1.22,0.88,0.98,1.0,0.05
ORD000011,2024-12-11,CUST00002,New,Scotland,Organic,SKU011,Laptop Stand Mid,Electronics,Mid,1,23.97,5,27.96,27.96,17.18,10.77,0.39,0,5,December,12,1-5%,10.77,15.91,1.22,0.88,1.08,0.956,0.05
ORD000011,2024-12-11,CUST00002,New,Scotland,Organic,SKU009,Bluetooth Speaker Premium,Electronics,Premium,1,88.48,5,103.2,103.2,40.74,62.46,0.61,0,4,December,12,1-5%,62.46,37.72,1.22,0.88,1.08,0.956,0.05
ORD000012,2024-10-19,CUST00002,New,Scotland,Facebook Ads,SKU054,Foam Roller Premium,Fitness,Premium,2,67.46,5,71.48,142.95,74.35,68.6,0.48,0,4,October,10,1-5%,68.6,39.13,1.12,1.08,0.95,0.946,0.08
ORD000012,2024-10-19,CUST00002,New,Scotland,Facebook Ads,SKU047,Spice Rack Mid,Home & Kitchen,Mid,1,32.3,10,32.27,32.27,17.51,14.76,0.46,0,5,October,10,6-10%,14.76,17.51,1.12,1.08,1.0,0.892,0.08
ORD000012,2024-10-19,CUST00002,New,Scotland,Facebook Ads,SKU118,Litter Mat Budget,Pet Supplies,Budget,1,11.37,0,12.73,12.73,7.26,5.47,0.43,0,4,October,10,No Discount,5.47,7.41,1.12,1.08,0.98,1.0,0.08
ORD000013,2024-05-16,CUST00003,Repeat,South West,Affiliate,SKU088,Nail Kit Budget,Beauty,Budget,1,17.7,0,17.7,17.7,11.79,5.91,0.33,0,5,May,5,No Discount,5.91,13.1,1.0,1.02,0.9,1.0,0.07
ORD000013,2024-05-16,CUST00003,Repeat,South West,Affiliate,SKU068,Protein Shaker Mid,Fitness,Mid,2,36.18,5,34.33,68.67,44.14,24.53,0.36,0,4,May,5,1-5%,24.53,23.23,1.0,1.02,0.95,0.949,0.07
ORD000013,2024-05-16,CUST00003,Repeat,South West,Affiliate,SKU011,Laptop Stand Mid,Electronics,Mid,1,23.97,15,20.3,20.3,17.18,3.12,0.15,0,5,May,5,11-15%,3.12,15.91,1.0,1.02,1.08,0.847,0.07
ORD000013,2024-05-16,CUST00003,Repeat,South West,Affiliate,SKU074,Face Serum Mid,Beauty,Mid,1,19.79,5,18.78,18.78,11.49,7.29,0.39,0,5,May,5,1-5%,7.29,12.77,1.0,1.02,0.9,0.949,0.07
ORD000014,2024-03-07,CUST00003,Repeat,South West,Affiliate,SKU045,Reusable Water Bottle Premium,Home & Kitchen,Premium,3,74.85,0,68.86,206.59,129.48,77.11,0.37,0,5,March,3,No Discount,77.11,43.16,0.92,1.02,1.0,1.0,0.07
ORD000014,2024-03-07,CUST00003,Repeat,South West,Affiliate,SKU091,Travel Toiletry Bag Budget,Beauty,Budget,1,17.54,0,16.14,16.14,11.14,4.99,0.31,0,5,March,3,No Discount,4.99,12.38,0.92,1.02,0.9,1.0,0.07
ORD000014,2024-03-07,CUST00003,Repeat,South West,Affiliate,SKU027,Air Fryer Liners Premium,Home & Kitchen,Premium,1,51.88,0,47.73,47.73,25.52,22.21,0.47,0,4,March,3,No Discount,22.21,25.52,0.92,1.02,1.0,1.0,0.07
ORD000014,2024-03-07,CUST00003,Repeat,South West,Affiliate,SKU104,Pet Blanket Mid,Pet Supplies,Mid,3,34.46,5,30.09,90.26,65.44,24.81,0.27,0,4,March,3,1-5%,24.81,22.26,0.92,1.02,0.98,0.949,0.07
ORD000015,2024-04-11,CUST00003,Repeat,South West,Facebook Ads,SKU060,Massage Ball Premium,Fitness,Premium,1,41.33,5,37.53,37.53,19.87,17.66,0.47,0,5,April,4,1-5%,17.66,20.92,0.96,1.08,0.95,0.946,0.08
ORD000015,2024-04-11,CUST00003,Repeat,South West,Facebook Ads,SKU090,Nail Kit Premium,Beauty,Premium,2,82.48,0,79.18,158.36,91.71,66.65,0.42,0,4,April,4,No Discount,66.65,50.95,0.96,1.08,0.9,1.0,0.08
ORD000015,2024-04-11,CUST00003,Repeat,South West,Facebook Ads,SKU058,Massage Ball Budget,Fitness,Budget,3,9.73,0,9.34,28.02,19.84,8.19,0.29,0,3,April,4,No Discount,8.19,6.96,0.96,1.08,0.95,1.0,0.08
ORD000016,2024-03-29,CUST00004,Repeat,Midlands,Organic,SKU027,Air Fryer Liners Premium,Home & Kitchen,Premium,2,51.88,5,45.63,91.26,51.04,40.22,0.44,0,5,March,3,1-5%,40.22,25.52,0.92,0.88,1.0,0.956,0.05
ORD000017,2024-04-29,CUST00004,Repeat,Midlands,Facebook Ads,SKU060,Massage Ball Premium,Fitness,Premium,3,41.33,10,35.39,106.18,59.62,46.55,0.44,0,5,April,4,6-10%,46.55,20.92,0.96,1.08,0.95,0.892,0.08
ORD000017,2024-04-29,CUST00004,Repeat,Midlands,Facebook Ads,SKU095,Facial Roller Mid,Beauty,Mid,1,30.98,10,26.53,26.53,15.03,11.5,0.43,0,4,April,4,6-10%,11.5,16.7,0.96,1.08,0.9,0.892,0.08
ORD000017,2024-04-29,CUST00004,Repeat,Midlands,Facebook Ads,SKU022,LED Desk Lamp Budget,Electronics,Budget,1,16.18,15,13.02,13.02,12.81,0.21,0.02,0,3,April,4,11-15%,0.21,11.86,0.96,1.08,1.08,0.838,0.08
ORD000017,2024-04-29,CUST00004,Repeat,Midlands,Facebook Ads,SKU051,Yoga Mat Premium,Fitness,Premium,1,67.03,5,60.87,60.87,25.86,35.01,0.58,0,4,April,4,1-5%,35.01,27.22,0.96,1.08,0.95,0.946,0.08
ORD000018,2024-11-30,CUST00004,Repeat,Midlands,Organic,SKU019,Portable Power Bank Budget,Electronics,Budget,2,10.29,5,12.59,25.18,17.6,7.58,0.3,0,5,November,11,1-5%,7.58,8.15,1.28,0.88,1.08,0.956,0.05
ORD000018,2024-11-30,CUST00004,Repeat,Midlands,Organic,SKU029,Storage Basket Mid,Home & Kitchen,Mid,3,31.0,15,34.44,103.33,57.42,45.91,0.44,0,5,November,11,11-15%,45.91,19.14,1.28,0.88,1.0,0.868,0.05
ORD000018,2024-11-30,CUST00004,Repeat,Midlands,Organic,SKU025,Air Fryer Liners Budget,Home & Kitchen,Budget,1,10.85,5,13.28,13.28,7.97,5.31,0.4,0,5,November,11,1-5%,5.31,7.97,1.28,0.88,1.0,0.956,0.05
ORD000019,2024-07-22,CUST00004,Repeat,Midlands,Facebook Ads,SKU040,Dish Rack Budget,Home & Kitchen,Budget,2,9.95,15,8.34,16.68,16.24,0.44,0.03,0,3,July,7,11-15%,0.44,8.12,1.0,1.08,1.0,0.838,0.08
ORD000019,2024-07-22,CUST00004,Repeat,Midlands,Facebook Ads,SKU009,Bluetooth Speaker Premium,Electronics,Premium,1,88.48,0,88.48,88.48,40.74,47.74,0.54,0,3,July,7,No Discount,47.74,37.72,1.0,1.08,1.08,1.0,0.08
ORD000020,2024-06-20,CUST00004,Repeat,Midlands,Affiliate,SKU018,Phone Tripod Premium,Electronics,Premium,2,85.38,0,87.94,175.88,85.04,90.84,0.52,0,4,June,6,No Discount,90.84,39.37,1.03,1.02,1.08,1.0,0.07
ORD000020,2024-06-20,CUST00004,Repeat,Midlands,Affiliate,SKU105,Pet Blanket Premium,Pet Supplies,Premium,2,63.13,5,61.71,123.42,72.62,50.8,0.41,0,5,June,6,1-5%,50.8,37.05,1.03,1.02,0.98,0.949,0.07
ORD000020,2024-06-20,CUST00004,Repeat,Midlands,Affiliate,SKU110,Training Pads Mid,Pet Supplies,Mid,2,20.81,15,18.15,36.31,24.09,12.22,0.34,0,5,June,6,11-15%,12.22,12.29,1.03,1.02,0.98,0.847,0.07
ORD000021,2024-09-25,CUST00005,New,North West,Facebook Ads,SKU094,Facial Roller Budget,Beauty,Budget,2,15.55,5,15.59,31.19,21.94,9.24,0.3,0,4,September,9,1-5%,9.24,12.19,1.06,1.08,0.9,0.946,0.08
ORD000022,2024-11-20,CUST00006,Repeat,South East,Facebook Ads,SKU079,Makeup Organiser Budget,Beauty,Budget,1,10.24,0,13.11,13.11,6.04,7.07,0.54,0,5,November,11,No Discount,7.07,6.71,1.28,1.08,0.9,1.0,0.08
ORD000022,2024-11-20,CUST00006,Repeat,South East,Facebook Ads,SKU006,USB Hub Premium,Electronics,Premium,3,43.25,10,49.38,148.14,62.76,85.38,0.58,0,5,November,11,6-10%,85.38,19.37,1.28,1.08,1.08,0.892,0.08
ORD000022,2024-11-20,CUST00006,Repeat,South East,Facebook Ads,SKU056,Resistance Bands Mid,Fitness,Mid,2,34.67,10,39.58,79.17,46.83,32.33,0.41,1,3,November,11,6-10%,-16.17,24.65,1.28,1.08,0.95,0.892,0.08
ORD000022,2024-11-20,CUST00006,Repeat,South East,Facebook Ads,SKU068,Protein Shaker Mid,Fitness,Mid,1,36.18,0,46.31,46.31,22.07,24.24,0.52,0,5,November,11,No Discount,24.24,23.23,1.28,1.08,0.95,1.0,0.08
ORD000023,2024-07-23,CUST00006,Repeat,South East,Affiliate,SKU042,Dish Rack Premium,Home & Kitchen,Premium,1,88.18,10,79.19,79.19,48.83,30.36,0.38,0,5,July,7,6-10%,30.36,48.83,1.0,1.02,1.0,0.898,0.07
ORD000023,2024-07-23,CUST00006,Repeat,South East,Affiliate,SKU072,Skipping Rope Premium,Fitness,Premium,3,57.55,5,54.61,163.84,75.38,88.46,0.54,0,3,July,7,1-5%,88.46,26.45,1.0,1.02,0.95,0.949,0.07
ORD000024,2024-10-05,CUST00006,Repeat,South East,Google Ads,SKU066,Gym Gloves Premium,Fitness,Premium,1,58.6,5,62.19,62.19,23.23,38.96,0.63,0,4,October,10,1-5%,38.96,24.45,1.12,1.05,0.95,0.9475,0.07
ORD000024,2024-10-05,CUST00006,Repeat,South East,Google Ads,SKU043,Reusable Water Bottle Budget,Home & Kitchen,Budget,1,16.51,0,18.49,18.49,11.98,6.51,0.35,0,5,October,10,No Discount,6.51,11.98,1.12,1.05,1.0,1.0,0.07
ORD000024,2024-10-05,CUST00006,Repeat,South East,Google Ads,SKU037,Food Container Set Budget,Home & Kitchen,Budget,1,11.25,15,10.62,10.62,7.6,3.02,0.28,0,5,October,10,11-15%,3.02,7.6,1.12,1.05,1.0,0.8425,0.07
ORD000025,2024-09-04,CUST00006,Repeat,South East,Google Ads,SKU058,Massage Ball Budget,Fitness,Budget,2,9.73,5,9.77,19.54,13.22,6.32,0.32,0,4,September,9,1-5%,6.32,6.96,1.06,1.05,0.95,0.9475,0.07
ORD000026,2024-08-15,CUST00006,Repeat,South East,Google Ads,SKU005,USB Hub Mid,Electronics,Mid,1,35.27,10,30.94,30.94,22.92,8.02,0.26,0,5,August,8,6-10%,8.02,21.22,0.98,1.05,1.08,0.895,0.07
ORD000026,2024-08-15,CUST00006,Repeat,South East,Google Ads,SKU049,Yoga Mat Budget,Fitness,Budget,3,10.87,5,10.09,30.28,25.19,5.09,0.17,0,4,August,8,1-5%,5.09,8.84,0.98,1.05,0.95,0.9475,0.07
ORD000026,2024-08-15,CUST00006,Repeat,South East,Google Ads,SKU008,Bluetooth Speaker Mid,Electronics,Mid,1,38.01,5,35.29,35.29,26.99,8.3,0.24,0,4,August,8,1-5%,8.3,24.99,0.98,1.05,1.08,0.9475,0.07
ORD000027,2024-08-17,CUST00006,Repeat,South East,Email,SKU046,Spice Rack Budget,Home & Kitchen,Budget,3,16.09,10,14.32,42.95,32.1,10.85,0.25,0,5,August,8,6-10%,10.85,10.7,0.98,0.92,1.0,0.908,0.04
ORD000027,2024-08-17,CUST00006,Repeat,South East,Email,SKU064,Gym Gloves Budget,Fitness,Budget,2,16.14,0,15.82,31.63,21.53,10.11,0.32,0,5,August,8,No Discount,10.11,11.33,0.98,0.92,0.95,1.0,0.04
ORD000027,2024-08-17,CUST00006,Repeat,South East,Email,SKU116,Pet Grooming Glove Mid,Pet Supplies,Mid,1,27.36,5,25.58,25.58,18.69,6.89,0.27,0,5,August,8,1-5%,6.89,19.07,0.98,0.92,0.98,0.954,0.04
ORD000027,2024-08-17,CUST00006,Repeat,South East,Email,SKU075,Face Serum Premium,Beauty,Premium,2,89.3,0,87.51,175.03,101.12,73.9,0.42,0,5,August,8,No Discount,73.9,56.18,0.98,0.92,0.9,1.0,0.04
ORD000028,2024-12-12,CUST00007,New,South East,Facebook Ads,SKU060,Massage Ball Premium,Fitness,Premium,1,41.33,5,47.7,47.7,19.87,27.83,0.58,0,4,December,12,1-5%,27.83,20.92,1.22,1.08,0.95,0.946,0.08
ORD000028,2024-12-12,CUST00007,New,South East,Facebook Ads,SKU027,Air Fryer Liners Premium,Home & Kitchen,Premium,2,51.88,5,59.88,119.75,51.04,68.71,0.57,0,4,December,12,1-5%,68.71,25.52,1.22,1.08,1.0,0.946,0.08
ORD000029,2024-01-15,CUST00008,Repeat,Wales,Facebook Ads,SKU079,Makeup Organiser Budget,Beauty,Budget,2,10.24,0,8.4,16.79,12.08,4.72,0.28,0,5,January,1,No Discount,4.72,6.71,0.82,1.08,0.9,1.0,0.08
ORD000030,2024-04-25,CUST00008,Repeat,Wales,Facebook Ads,SKU005,USB Hub Mid,Electronics,Mid,2,35.27,0,33.86,67.72,45.84,21.88,0.32,0,3,April,4,No Discount,21.88,21.22,0.96,1.08,1.08,1.0,0.08
ORD000031,2024-03-13,CUST00008,Repeat,Wales,Facebook Ads,SKU065,Gym Gloves Mid,Fitness,Mid,3,35.68,0,32.83,98.48,57.94,40.54,0.41,0,5,March,3,No Discount,40.54,20.33,0.92,1.08,0.95,1.0,0.08
ORD000031,2024-03-13,CUST00008,Repeat,Wales,Facebook Ads,SKU074,Face Serum Mid,Beauty,Mid,3,19.79,0,18.21,54.62,34.48,20.14,0.37,0,3,March,3,No Discount,20.14,12.77,0.92,1.08,0.9,1.0,0.08
ORD000031,2024-03-13,CUST00008,Repeat,Wales,Facebook Ads,SKU057,Resistance Bands Premium,Fitness,Premium,3,63.71,0,58.61,175.84,96.53,79.31,0.45,0,4,March,3,No Discount,79.31,33.87,0.92,1.08,0.95,1.0,0.08
ORD000032,2024-03-16,CUST00008,Repeat,Wales,Email,SKU043,Reusable Water Bottle Budget,Home & Kitchen,Budget,2,16.51,5,14.49,28.98,23.96,5.02,0.17,0,4,March,3,1-5%,5.02,11.98,0.92,0.92,1.0,0.954,0.04
ORD000032,2024-03-16,CUST00008,Repeat,Wales,Email,SKU078,LED Mirror Premium,Beauty,Premium,3,88.11,5,77.33,232.0,102.98,129.02,0.56,0,4,March,3,1-5%,129.02,38.14,0.92,0.92,0.9,0.954,0.04
ORD000033,2024-01-21,CUST00008,Repeat,Wales,Organic,SKU055,Resistance Bands Budget,Fitness,Budget,1,17.55,10,13.12,13.12,11.93,1.19,0.09,0,4,January,1,6-10%,1.19,12.56,0.82,0.88,0.95,0.912,0.05
ORD000033,2024-01-21,CUST00008,Repeat,Wales,Organic,SKU029,Storage Basket Mid,Home & Kitchen,Mid,1,31.0,15,22.06,22.06,19.14,2.92,0.13,0,5,January,1,11-15%,2.92,19.14,0.82,0.88,1.0,0.868,0.05
ORD000033,2024-01-21,CUST00008,Repeat,Wales,Organic,SKU081,Makeup Organiser Premium,Beauty,Premium,3,62.73,0,51.44,154.32,71.93,82.39,0.53,0,4,January,1,No Discount,82.39,26.64,0.82,0.88,0.9,1.0,0.05
ORD000034,2024-09-21,CUST00009,Repeat,London,TikTok,SKU118,Litter Mat Budget,Pet Supplies,Budget,2,11.37,5,11.36,22.72,14.52,8.19,0.36,0,5,September,9,1-5%,8.19,7.41,1.06,1.15,0.98,0.9425,0.11
ORD000034,2024-09-21,CUST00009,Repeat,London,TikTok,SKU041,Dish Rack Mid,Home & Kitchen,Mid,3,38.99,5,38.95,116.86,83.85,33.01,0.28,0,5,September,9,1-5%,33.01,27.95,1.06,1.15,1.0,0.9425,0.11
ORD000035,2024-06-06,CUST00009,Repeat,London,Google Ads,SKU061,Ankle Weights Budget,Fitness,Budget,3,11.88,0,12.24,36.71,24.62,12.09,0.33,0,4,June,6,No Discount,12.09,8.64,1.03,1.05,0.95,1.0,0.07
ORD000035,2024-06-06,CUST00009,Repeat,London,Google Ads,SKU093,Travel Toiletry Bag Premium,Beauty,Premium,2,83.83,10,77.28,154.56,97.0,57.56,0.37,0,3,June,6,6-10%,57.56,53.89,1.03,1.05,0.9,0.895,0.07
ORD000035,2024-06-06,CUST00009,Repeat,London,Google Ads,SKU014,Webcam Mid,Electronics,Mid,1,20.55,15,17.83,17.83,14.52,3.32,0.19,0,5,June,6,11-15%,3.32,13.44,1.03,1.05,1.08,0.8425,0.07
ORD000036,2024-08-11,CUST00009,Repeat,London,Email,SKU120,Litter Mat Premium,Pet Supplies,Premium,2,81.53,15,68.87,137.75,74.68,63.07,0.46,0,5,August,8,11-15%,63.07,38.1,0.98,0.92,0.98,0.862,0.04
ORD000036,2024-08-11,CUST00009,Repeat,London,Email,SKU062,Ankle Weights Mid,Fitness,Mid,3,37.92,5,35.45,106.36,75.64,30.72,0.29,0,5,August,8,1-5%,30.72,26.54,0.98,0.92,0.95,0.954,0.04
ORD000036,2024-08-11,CUST00009,Repeat,London,Email,SKU118,Litter Mat Budget,Pet Supplies,Budget,1,11.37,5,10.63,10.63,7.26,3.37,0.32,0,4,August,8,1-5%,3.37,7.41,0.98,0.92,0.98,0.954,0.04
ORD000036,2024-08-11,CUST00009,Repeat,London,Email,SKU087,Hair Towel Premium,Beauty,Premium,1,89.36,5,83.54,83.54,44.62,38.92,0.47,0,5,August,8,1-5%,38.92,49.58,0.98,0.92,0.9,0.954,0.04
ORD000037,2024-07-23,CUST00010,New,London,Facebook Ads,SKU017,Phone Tripod Mid,Electronics,Mid,1,27.41,5,25.93,25.93,21.12,4.81,0.19,0,3,July,7,1-5%,4.81,19.56,1.0,1.08,1.08,0.946,0.08
ORD000037,2024-07-23,CUST00010,New,London,Facebook Ads,SKU043,Reusable Water Bottle Budget,Home & Kitchen,Budget,3,16.51,15,13.84,41.51,35.94,5.57,0.13,1,5,July,7,11-15%,-2.78,11.98,1.0,1.08,1.0,0.838,0.08
ORD000037,2024-07-23,CUST00010,New,London,Facebook Ads,SKU028,Storage Basket Budget,Home & Kitchen,Budget,1,14.34,10,12.79,12.79,9.72,3.07,0.24,0,4,July,7,6-10%,3.07,9.72,1.0,1.08,1.0,0.892,0.08
ORD000038,2024-03-03,CUST00011,New,Scotland,Google Ads,SKU023,LED Desk Lamp Mid,Electronics,Mid,3,25.43,5,22.17,66.5,50.77,15.73,0.24,0,5,March,3,1-5%,15.73,15.67,0.92,1.05,1.08,0.9475,0.07
ORD000039,2024-06-11,CUST00012,VIP,South West,Email,SKU058,Massage Ball Budget,Fitness,Budget,1,9.73,20,8.18,8.18,6.61,1.57,0.19,0,4,June,6,15%+,1.57,6.96,1.03,0.92,0.95,0.816,0.04
ORD000039,2024-06-11,CUST00012,VIP,South West,Email,SKU025,Air Fryer Liners Budget,Home & Kitchen,Budget,1,10.85,10,10.15,10.15,7.97,2.18,0.21,0,4,June,6,6-10%,2.18,7.97,1.03,0.92,1.0,0.908,0.04
ORD000039,2024-06-11,CUST00012,VIP,South West,Email,SKU082,Scalp Massager Budget,Beauty,Budget,3,8.45,15,7.5,22.51,15.26,7.25,0.32,0,5,June,6,11-15%,7.25,5.65,1.03,0.92,0.9,0.862,0.04
ORD000040,2024-08-25,CUST00012,VIP,South West,Google Ads,SKU099,Dog Toy Premium,Pet Supplies,Premium,2,46.94,15,38.76,77.51,51.86,25.65,0.33,0,4,August,8,11-15%,25.65,26.46,0.98,1.05,0.98,0.8425,0.07
ORD000040,2024-08-25,CUST00012,VIP,South West,Google Ads,SKU001,Wireless Charger Budget,Electronics,Budget,3,11.75,20,9.1,27.29,27.35,-0.06,-0.0,0,5,August,8,15%+,-0.06,8.44,0.98,1.05,1.08,0.79,0.07
